Format,Liczba,Czas (ms),IEEE 754 Float,Blad wzgledny
"<32,1>",01000001100011111011010011111001,"0,024600",1.1227103471755981,"1,00"
"<32,1>",11000110101110001100000110010001,"0,007500",-0.7782964110374451,"1,08"
"<32,1>",01100000100011001010001011011010,"0,006400",4.394879341125488,"0,67"
"<32,1>",10011100111001010010011101111000,"0,005300",-4.838932037353516,"0,02"
"<32,1>",01000110101000001011110101110001,"0,004000",1.2557812929153442,"1,00"
"<32,1>",01000001100111100101011101011000,"0,002600",1.2370405197143555,"1,00"
"<32,1>",00100011001000111010000000000001,"0,002800",0.6391602158546448,"1,45"
"<32,1>",00101101110110110101101101001010,"0,002300",0.8568617105484009,"1,34"
"<32,1>",10111011110100010110010011101101,"0,005000",-1.3641074895858765,"0,32"
"<32,1>",11010101101101111000001110011000,"0,005400",-0.7831482887268066,"1,07"
"<32,1>",11101111000011101000001011010000,"0,002600",-0.47165822982788086,"1,13"
"<32,1>",01001110110110000110110110101001,"0,002200",1.690846562385559,"1,00"
"<32,1>",01010000010000111111000000101010,"0,002200",3.0615334510803223,"0,80"
"<32,1>",11100001000000010101111001011101,"0,002300",-0.49732694029808044,"1,14"
"<32,1>",00010011110100000111111011011111,"0,002100",0.40721794962882996,"2,60"
"<32,1>",11000111011000010000101100111100,"0,002400",-0.620922327041626,"1,08"
"<32,1>",11110011111010001110001010100001,"0,002300",-0.2951459586620331,"1,13"
"<32,1>",11111011000101100100101100101101,"0,002200",-0.4564577043056488,"1,13"
"<32,1>",10011010011000100101011001111111,"0,002800",-4.926941394805908,"0,04"
"<32,1>",10011001100001100001110010111111,"0,002400",-7.808990955352783,"0,05"
"<32,1>",01001011100000010111111011001111,"0,002200",1.011682391166687,"1,00"
"<32,1>",11010001110011101011110001000001,"0,002200",-0.6924399733543396,"1,08"
"<32,1>",01011001000111001100111101001010,"0,002300",2.4501519203186035,"0,82"
"<32,1>",10001001011001111110100000010100,"0,002800",-38.02336120605469,"0,51"
"<32,1>",11011111010111110110111110010000,"0,002500",-0.6272039413452148,"1,07"
"<32,1>",10001110111100011011110011011100,"0,002700",-17.78278350830078,"0,34"
"<32,1>",11001000111110100100001011111000,"0,002300",-0.5224156379699707,"1,08"
"<32,1>",00111110110110100100011000100100,"0,002200",0.8526327610015869,"1,25"
"<32,1>",00001011011101100000001100100001,"0,002000",0.48049262166023254,"3,75"
"<32,1>",00111000101110000100101001010101,"0,001900",0.7198842167854309,"1,28"
"<32,1>",01110110110111001010100001001010,"0,002600",55.164344787597656,"0,32"
"<32,1>",11000000111010001100010001011000,"0,003800",-0.5907540321350098,"1,08"
"<32,1>",10001100111010101101110110011111,"0,003200",-18.641786575317383,"0,36"
"<32,1>",10101001001001011111111010111110,"0,002500",-3.4063267707824707,"0,15"
"<32,1>",10011101011111100000100101011001,"0,002600",-4.06135892868042,"0,02"
"<32,1>",01001001111011110111001101100110,"0,002600",1.8707091808319092,"0,99"
"<32,1>",00001000011001101110101111010111,"0,002300",0.4510180652141571,"4,76"
"<32,1>",00110111011111110100101011000000,"0,005000",0.9972343444824219,"1,28"
"<32,1>",10000110011100110011000001111101,"0,003700",-70.4052963256836,"0,67"
"<32,1>",00001011110100111000001110110101,"0,002500",0.4131142199039459,"3,68"
"<32,1>",10110010010000111001001000011000,"0,003200",-1.4721040725708008,"0,28"
"<32,1>",00110001100111101010101001111001,"0,003200",0.6197887063026428,"1,32"
"<32,1>",00101001000110000011111101000100,"0,003600",0.5947153568267822,"1,39"
"<32,1>",11101000101010011111001001100001,"0,008000",-0.4180726706981659,"1,14"
"<32,1>",01011100000000111011100111011101,"0,008200",2.0582191944122314,"0,83"
"<32,1>",01100110101110010101111100111010,"0,004300",5.792874336242676,"0,69"
"<32,1>",01110010110011001000001000010100,"0,003400",25.563514709472656,"0,44"
"<32,1>",01100101111111011110101110000000,"0,003500",7.93499755859375,"0,68"
"<32,1>",00011111000111010110110101010110,"0,003200",0.3074747920036316,"2,02"
"<32,1>",01010010111101111100110001010110,"0,004200",3.8718466758728027,"0,80"
