Format,Liczba,Czas (ms),IEEE 754 Float,Blad wzgledny
"<32,3>",00110010111100010010100010100100,"0,051300",0.4710131883621216,"1,03"
"<32,3>",11001011011010101100011000111111,"0,134000",-0.2914562523365021,"1,01"
"<32,3>",00001011010100011010101000111111,"0,007900",0.012796937488019466,"1,59"
"<32,3>",01100100111111110111111101001000,"0,006100",2043.9775390625,"0,90"
"<32,3>",10100010010000100010100111101101,"0,004700",-189.8362274169922,"0,17"
"<32,3>",11011000000001111011101001101010,"0,006300",-0.1212264746427536,"1,02"
"<32,3>",10111110000011011001101111110110,"0,003900",-1.8936779499053955,"0,32"
"<32,3>",11111010111010100101101101110001,"0,008500",-0.004566736053675413,"1,03"
"<32,3>",10000010101010100101010110000010,"0,007700",-183966302208.0,"0,26"
"<32,3>",01011011100001110010011010110011,"0,010600",67.5755844116211,"0,93"
"<32,3>",00001011110111101010111010111101,"0,014400",0.013591465540230274,"1,56"
"<32,3>",00010001001011111101100110101100,"0,009800",0.021466098725795746,"1,34"
"<32,3>",10110010100000010110001101110011,"0,017800",-15.913220405578613,"0,26"
"<32,3>",01110000100001011111000001110011,"0,016800",68576.8984375,"0,86"
"<32,3>",01001101100101010011101110000011,"0,014000",9.32702922821045,"0,96"
"<32,3>",10010011111010110100001110010100,"0,012400",-19038.2109375,"0,04"
"<32,3>",11001001010011101111100110110000,"0,009500",-0.3457512855529785,"1,01"
"<32,3>",00100001101101101110110011010111,"0,007100",0.08931892365217209,"1,11"
"<32,3>",01110001100111111011001010011010,"0,011600",163530.40625,"0,85"
"<32,3>",10001100101111000110101111100011,"0,011700",-801089.8125,"0,05"
"<32,3>",11100000001111111100110011110011,"0,011100",-0.0469236858189106,"1,02"
"<32,3>",10100111011100101001010100100110,"0,011100",-70.70869445800781,"0,20"
"<32,3>",10111100110001100001110000101100,"0,009500",-1.4522652626037598,"0,32"
"<32,3>",10111100110001010100011011010010,"0,009600",-1.4587762355804443,"0,32"
"<32,3>",11110011011111111101110101010111,"0,008300",-0.007820763625204563,"1,03"
"<32,3>",01100011110000001110011111110011,"0,008400",771.6242065429688,"0,91"
"<32,3>",01011111111100111111010000101111,"0,007500",243.95384216308594,"0,92"
"<32,3>",10110101111101110001010001010101,"0,007400",-4.278768062591553,"0,29"
"<32,3>",10001010111011001001000110010101,"0,003800",-2415514.75,"0,07"
"<32,3>",11110011110001110011000100111011,"0,010800",-0.011279766447842121,"1,03"
"<32,3>",01111010010110000011100000000011,"0,008500",453443680.0,"0,77"
"<32,3>",01000011000011001101011000111001,"0,008100",1.1002875566482544,"1,00"
"<32,3>",10000010000111000111000101010101,"0,007100",-855190667264.0,"0,29"
"<32,3>",01011000001011011111011010011101,"0,005700",86.9816665649414,"0,93"
"<32,3>",00111101011011001011000010110001,"0,006900",0.9245710968971252,"1,01"
"<32,3>",10010011010111101100100111100111,"0,006300",-20635.048828125,"0,04"
"<32,3>",11111101011000100010001100010100,"0,007300",-0.0048175957053899765,"1,03"
"<32,3>",01001001000010111111100111001111,"0,006200",4.374244213104248,"0,97"
"<32,3>",00100000000110001111101100111111,"0,004900",0.07469796389341354,"1,12"
"<32,3>",01001100111010111011011101001110,"0,005900",14.73225212097168,"0,96"
"<32,3>",10110110001110110101110101001010,"0,006700",-6.144862174987793,"0,29"
"<32,3>",11000001100010111101011110011101,"0,007300",-0.9537412524223328,"1,00"
"<32,3>",10010100011000011000111100011110,"0,006300",-10140.220703125,"0,05"
"<32,3>",01011011100010100000000111000110,"0,010000",69.00346374511719,"0,93"
"<32,3>",10111001011110101011101001011011,"0,005900",-2.0823757648468018,"0,30"
"<32,3>",11110001101111100111100000100100,"0,007000",-0.011812176555395126,"1,03"
"<32,3>",10011001001011001000101000101100,"0,008500",-3383.3642578125,"0,09"
"<32,3>",00101011100011000000110101101100,"0,006300",0.13676995038986206,"1,07"
"<32,3>",01010110100010010000011000111000,"0,004700",34.256072998046875,"0,94"
"<32,3>",11100100010101111011001010110100,"0,008800",-0.041089341044425964,"1,02"
