Format,Liczba,Czas (ms),IEEE 754 Float,Blad wzgledny
"<32,2>",11001000011100100001100100111001,"0,030200",-0.5543026328086853,"1,02"
"<32,2>",11011001001101100011101101100111,"0,036000",-0.3940780460834503,"1,04"
"<32,2>",00101010100101011000101110100111,"0,012200",0.2920810878276825,"1,19"
"<32,2>",00100100100100111110101110100110,"0,033200",0.2889072299003601,"1,22"
"<32,2>",00001101010101010110110001010100,"0,023300",0.10421052575111389,"2,17"
"<32,2>",01011011011111110011001011001010,"0,014500",15.949899673461914,"0,86"
"<32,2>",00101001101110001111111110100010,"0,012000",0.36132532358169556,"1,19"
"<32,2>",11010000111110001011101001111000,"0,330700",-0.264202356338501,"1,04"
"<32,2>",00110000100010011011110000100000,"0,022100",0.5380268096923828,"1,08"
"<32,2>",01101110100000011110100101100000,"0,024100",129.91162109375,"0,75"
"<32,2>",10001110000010000010010110111110,"0,021400",-495.70513916015625,"0,13"
"<32,2>",01011110111111010111010111011101,"0,015900",15.841275215148926,"0,87"
"<32,2>",00001011011110000001100010000111,"0,020700",0.12114053219556808,"2,35"
"<32,2>",00100011010010110110001010110001,"0,003900",0.3972373306751251,"1,22"
"<32,2>",11110000011001011101100010111010,"0,012100",-0.07527022063732147,"1,07"
"<32,2>",10110101111101000000011001001000,"0,008300",-2.1871166229248047,"0,27"
"<32,2>",01000011011100101001111011101011,"0,004900",1.8954747915267944,"0,99"
"<32,2>",10100000110001111001111100000101,"0,007400",-11.523676872253418,"0,13"
"<32,2>",10100011100100000001000101010101,"0,004800",-14.995768547058105,"0,14"
"<32,2>",00001110010101011001010010001110,"0,003400",0.10428725183010101,"2,09"
"<32,2>",00111000101011001111000101111000,"0,004600",0.6755595207214355,"1,07"
"<32,2>",01010000001011000111110001010001,"0,003700",5.3901753425598145,"0,90"
"<32,2>",01100100010000100111111011111100,"0,049800",48.62400817871094,"0,80"
"<32,2>",11110100101010010101010110011110,"0,007000",-0.10481716692447662,"1,06"
"<32,2>",11000001110101110101011100101010,"0,004300",-0.6588262319564819,"1,02"
"<32,2>",10011001010000101110111110111101,"0,005300",-47.2658805847168,"0,03"
"<32,2>",11110111001000101000100110100010,"0,003500",-0.10813592374324799,"1,06"
"<32,2>",01101011010011001101100111110101,"0,003900",102.42569732666016,"0,77"
"<32,2>",11011101100001000011001001011011,"0,003300",-0.4918033182621002,"1,03"
"<32,2>",00101101101111000101000110000110,"0,003400",0.3678094744682312,"1,17"
"<32,2>",10001000011001011110000110101010,"0,006400",-2465.89599609375,"0,26"
"<32,2>",11100000101000110010000001010111,"0,004800",-0.21569694578647614,"1,05"
"<32,2>",00111101010111010110011001001001,"0,004400",0.8648419976234436,"1,06"
"<32,2>",01010001100000000111001100000001,"0,005100",4.014038562774658,"0,90"
"<32,2>",10100010110110000011000100011001,"0,004200",-10.48801326751709,"0,14"
"<32,2>",11110010110111010111001010101000,"0,005500",-0.07937115430831909,"1,07"
"<32,2>",11001100101101111101100001110001,"0,005500",-0.7818536162376404,"1,02"
"<32,2>",10110000110001101001011001101111,"0,006100",-2.8970682621002197,"0,25"
"<32,2>",01000100011001011110110101101111,"0,005000",1.7963083982467651,"0,99"
"<32,2>",10111001001110111010111110101010,"0,006000",-1.5337016582489014,"0,31"
"<32,2>",01011101100100110111000101100101,"0,006400",9.215184211730957,"0,87"
"<32,2>",10101011101110110010101011100001,"0,007200",-6.151015758514404,"0,21"
"<32,2>",11010101111110111011110000001001,"0,006000",-0.2583310306072235,"1,04"
"<32,2>",00101111110110110010001111100100,"0,005600",0.42800819873809814,"1,16"
"<32,2>",11001001001110110110000001110101,"0,005800",-0.7680594325065613,"1,02"
"<32,2>",11001000110001001110000010000000,"0,005800",-0.7309494018554688,"1,02"
"<32,2>",11000010101000000001010000001001,"0,005900",-0.874694287776947,"1,02"
"<32,2>",01010101001111101011001111000100,"0,005300",5.959444046020508,"0,90"
"<32,2>",00010010101101100110110001111000,"0,004800",0.17814815044403076,"1,63"
"<32,2>",01000100010110110011100101101100,"0,005600",1.7126898765563965,"0,99"
